,time,target_flux,filter,norm_target_flux,target_mag,target_flux_err,target_mag_err,diff_mag,obs_no,color,Anomaly,Anomaly_Score
608,2022-11-06T06:42:12.000,137596.58,g,1.0438149,12.153481,370.94012,0.0029410345,0.64068353,20221106,tab:red,1,0.0007895173768899255
623,2022-11-06T06:44:32.000,131188.36,g,0.99520177,12.205262,362.19934,0.0030120092,0.66764724,20221106,tab:red,1,0.0012779538604077434
632,2022-11-06T06:21:32.000,148443.38,g,1.1260992,12.071098,385.28348,0.0028315454,0.54926777,20221106,tab:red,1,0.00011221217373635906
633,2022-11-06T06:21:42.000,148683.53,g,1.127921,12.069343,385.59503,0.0028292579,0.54672647,20221106,tab:red,1,0.00011221217373635906
651,2022-11-06T06:24:32.000,152799.72,g,1.1591467,12.039694,390.89606,0.0027908897,0.5307323,20221106,tab:red,1,0.0010960587299844726
654,2022-11-06T06:24:52.000,150195.36,g,1.1393899,12.058359,387.55048,0.0028149823,0.5442847,20221106,tab:red,1,0.0020164290326786793
677,2022-11-06T06:28:22.000,147283.55,g,1.1173007,12.079615,383.7754,0.0028426724,0.5676789,20221106,tab:red,1,0.00011221217373635906
679,2022-11-06T06:28:42.000,145701.67,g,1.1053005,12.091339,381.7089,0.0028580623,0.5737852,20221106,tab:red,1,0.0030003631167183076
692,2022-11-06T06:30:42.000,143121.39,g,1.0857264,12.110739,378.31387,0.0028837104,0.57066274,20221106,tab:red,1,0.00361490091522082
695,2022-11-06T06:31:12.000,145020.73,g,1.1001348,12.096425,380.8159,0.0028647643,0.5700724,20221106,tab:red,1,0.0013307880705474284
700,2022-11-06T06:31:52.000,143777.89,g,1.0907066,12.10577,379.18054,0.0028771195,0.58061177,20221106,tab:red,1,0.0013307880705474284
701,2022-11-06T06:32:02.000,139716.0,g,1.0598929,12.136885,373.78604,0.0029186422,0.5832042,20221106,tab:red,1,0.0007895173768899255
712,2022-11-06T06:33:42.000,141899.98,g,1.0764607,12.120044,376.69617,0.0028960947,0.58481157,20221106,tab:red,1,0.0007208817685224189
713,2022-11-06T06:33:52.000,142629.78,g,1.0819969,12.114474,377.66357,0.002888676,0.5901324,20221106,tab:red,1,0.0005178546156187069
722,2022-11-06T07:09:52.000,117613.44,g,0.8922217,12.323857,342.94815,0.0031810866,0.81206894,20221106,tab:red,1,0.0027992569604791684
724,2022-11-06T07:10:12.000,116022.41,g,0.88015205,12.338645,340.62064,0.0032028235,0.8135087,20221106,tab:red,1,0.0019306224077299539
728,2022-11-06T07:10:52.000,114588.16,g,0.86927176,12.352151,338.50873,0.0032228054,0.8155034,20221106,tab:red,1,0.0021498115099073956
729,2022-11-06T07:11:02.000,111308.17,g,0.8443897,12.383682,333.62878,0.0032699448,0.84402233,20221106,tab:red,1,0.0010543521250114818
739,2022-11-06T07:12:32.000,113572.86,g,0.8615697,12.361814,337.00574,0.0032371785,0.83277154,20221106,tab:red,1,0.0021498115099073956
740,2022-11-06T07:12:42.000,116254.43,g,0.88191223,12.336476,340.96103,0.0031996258,0.81683904,20221106,tab:red,1,0.004630494053987133
751,2022-11-06T07:14:22.000,113595.37,g,0.8617404,12.361598,337.03912,0.003236858,0.84428847,20221106,tab:red,1,0.0011161868433499644
754,2022-11-06T07:14:42.000,115483.89,g,0.87606686,12.343697,339.82922,0.0032102824,0.82585925,20221106,tab:red,1,0.0015230695399980898
759,2022-11-06T07:15:32.000,111725.72,g,0.8475571,12.379617,334.25397,0.0032638288,0.8526845,20221106,tab:red,1,0.0010543521250114818
760,2022-11-06T07:15:42.000,110234.01,g,0.83624095,12.394211,332.01508,0.003285838,0.84723926,20221106,tab:red,1,0.0006058768577748563
761,2022-11-06T07:15:52.000,108697.15,g,0.8245822,12.409454,329.6925,0.0033089856,0.8482915,20221106,tab:red,1,0.0006058768577748563
762,2022-11-06T07:16:02.000,110248.67,g,0.83635217,12.394067,332.03714,0.0032856194,0.84701633,20221106,tab:red,1,0.0006058768577748563
764,2022-11-06T07:16:12.000,109240.75,g,0.828706,12.404038,330.51587,0.0033007422,0.83956236,20221106,tab:red,1,0.0034987872383209218
765,2022-11-06T07:16:22.000,108329.336,g,0.821792,12.413135,329.13422,0.0033145985,0.8533798,20221106,tab:red,1,0.0006058768577748563
766,2022-11-06T07:16:32.000,107857.79,g,0.81821483,12.417871,328.41708,0.003321836,0.84980154,20221106,tab:red,1,0.00372895406169943
768,2022-11-06T07:16:52.000,111398.45,g,0.84507453,12.382802,333.76407,0.0032686195,0.8399253,20221106,tab:red,1,0.0010543521250114818
769,2022-11-06T07:17:02.000,110542.13,g,0.8385784,12.39118,332.47876,0.0032812553,0.8404093,20221106,tab:red,1,0.0010543521250114818
770,2022-11-06T07:17:12.000,110777.69,g,0.84036535,12.388869,332.83282,0.003277765,0.85282606,20221106,tab:red,1,0.004568056783474439
771,2022-11-06T07:17:22.000,109378.016,g,0.8297473,12.402675,330.72348,0.0032986705,0.8450929,20221106,tab:red,1,0.0006058768577748563
775,2022-11-06T07:17:52.000,106877.91,g,0.8107814,12.42778,326.92188,0.003337029,0.84328175,20221106,tab:red,1,0.0006058768577748563
